,Relation,A,B,C,D,Prediction,Correct
0,hypernyms - animals,velociraptor,dinosaur,duck,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'poultry', 'chordate', 'domestic fowl', 'waterfowl', 'water fowl', 'animate being', 'anseriform bird', 'craniate', 'living thing']",bird,1
1,hypernyms - animals,lion,craniate,allosaurus,"['dinosaur', 'reptile', 'bird', 'archosaur', 'archosaurian', 'archosaurian reptile']",dinosaur,1
2,hypernyms - animals,tiger,placental,falcon,"['raptor', 'bird', 'vertebrate', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'animate being', 'craniate', 'living thing', 'raptorial bird', 'bird of prey']",Raptor,1
3,hypernyms - animals,jaguar,big cat,lion,"['feline', 'cat', 'beast', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'felid', 'eutherian', 'mammal', 'mammalian', 'eutherian mammal', 'animate being', 'placental mammal', 'craniate', 'big cat']",Large Cat,0
4,hypernyms - animals,vulture,being,viper,"['snake', 'reptile', 'snake', 'serpent', 'ophidian']",slithering,0
5,hypernyms - animals,quail,gallinacean,chicken,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'poultry', 'chordate', 'domestic fowl', 'animate being', 'gallinaceous bird', 'craniate', 'gallinacean', 'living thing']",Aves,0
6,hypernyms - animals,vulture,beast,tyrannosaurus,"['dinosaur', 'reptile', 'theropod', 'theropod dinosaur', 'bird footed dinosaur', 'archosaur', 'archosaurian', 'archosaurian reptile']",dinosaur,1
7,hypernyms - animals,mouse,eutherian mammal,jaguar,"['feline', 'cat', 'beast', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'felid', 'eutherian', 'mammal', 'mammalian', 'eutherian mammal', 'animate being', 'placental mammal', 'craniate', 'big cat']",Carnivore,1
8,hypernyms - animals,velociraptor,archosaurian,fox,"['canine', 'vertebrate', 'creature', 'beast', 'canid', 'being', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'eutherian', 'mammal', 'mammalian', 'animate being', 'eutherian mammal', 'locomote', 'placental mammal', 'craniate', 'domesticated animal', 'physical entity', 'domestic animal', 'living thing']",Carnivore,1
9,hypernyms - animals,cow,physical hoofed mammal,cat,"['feline', 'beast', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'felid', 'eutherian', 'mammal', 'mammalian', 'eutherian mammal', 'animate being', 'placental mammal', 'craniate']",Feline,1
10,hypernyms - animals,leopard,placental mammal,ant,"['insect', 'invertebrate', 'creature', 'beast', 'hymenopteran', 'being', 'animal', 'organism', 'fauna', 'arthropod', 'hymenopterous insect', 'animate being', 'physical hymenopteron', 'physical entity', 'hymenopter', 'living thing']",Insect,1
11,hypernyms - animals,ant,invertebrate,chicken,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'poultry', 'chordate', 'domestic fowl', 'animate being', 'gallinaceous bird', 'craniate', 'gallinacean', 'living thing']",Bird,1
